sighted,reported,city,state,duration
19951009,19951009,"Iowa City","IA",
19951010,19951011,"Milwaukee","WI",2 min.
19950101,19950103,"Shelton","WA",
19950510,19950510,"Columbia","MO",2 min.
19950611,19950614,"Seattle","WA",
19951025,19951024,"Brunswick County","ND",30 min.
19950420,19950419,"Fargo","ND",2 min.
19950911,19950911,"Las Vegas","NV",
19950115,19950214,"Morton","WA",
19950915,19950915,"Redmond","WA",6 min.
19940801,19950220,"Renton","WA",
19950722,19950724,"Springfield","IL",1 min.
19950611,19950612,"Sharon","MA",
19950821,19950823,"Laporte","WA",5 sec.
19950416,19950416,"Villa Rica","GA",
19950207,19950207,"Raymond","WA",
19951118,19951117,"Orlando","FL",
19950610,19950611,"Glade Spring","VA",5 min.
19950514,19950514,"Silver Beach","NY",25 min.
19950204,19950204,"Lewiston","MT",
19950812,19950911,"Fort Myers Beach","FL",
19951106,19951106,"St. Augustine","FL",20 sec.
19950628,19950628,"Lisbon","ME",
19950314,19950314,"Fontana","CA",5 min.
19950306,19950307,"Hilltop","NJ",5 sec.
19950506,19950516,"Lebanon","OR",
19950730,19950730,"Newtown","CT",30 sec.
19950822,19950822,"Prescott","AZ",2 sec.
19950207,19950207,"Quilcene","WA",20 sec
19950909,19950910,"Silverdale","WA",2 sec.
19950328,19950328,"Cordova","AK",15 min
19950404,19950404,"Folsom","NJ",
19950228,19950302,"Harrisonburg","VA",
19950222,19950222,"Vancouver","WA",4 sec.
19950912,19950914,"North Haven","CT",5 min.
19950824,19950825,"Battle Creek","MI",
19950130,19950130,"Jacksonville","FL",90 sec.
19950829,19950829,"Boise","ID",1 sec.
19950121,19950122,"Seymour","TN",3 min.
19951022,19951024,"Bessemer","AL",15 min.
19950916,19950916,"Seattle","WA",20 sec.
19941231,19950426,"West Union","OH",
19950423,19950423,"Bradenton","FL",5 min.
19950222,19950222,"Seattle","WA",4 sec.
19950314,19950319,"N. Judson","IN",
19951116,19951116,"Elk Grove","CA",40 sec.
19950202,19950203,"Denmark","WI",75 min
19941209,19950607,"Cromwell","CT",8 min.
19950625,19950627,"Sioux Falls","SD",
19950809,19950809,"Fresno","CA",15 min.
19950825,19950825,"Kansas City","KS",
19950109,19950307,"Marion","NY",3 min.
19950507,19950510,"Cannon","NH",1 min.
19950913,19950913,"Corpus Christi","TX",10 min.
19950808,19950809,"Oregon City","OR",30 min.
19950204,19950204,"Chimacum","WA",
19950722,19950723,"Santa Clara","CA",30 min.
19950322,19950322,"Redmond","WA",20 min.
19950222,19950222,"St. Louis","MO",4 sec.
19950312,19950312,"Norfolk","VA",3 hrs.
19950603,19950603,"Goldsboro","NC",3 sec.
19950103,19950103,"Salinas","CA",15 min.
19950325,19950326,"Salinas","CA",20 min.
19950804,19950804,"Lynnwood","WA",
19950730,19950730,"Highpoint","NC",2 sec.
19950612,19950612,"Fort Wayne","IN",30 min.
19951113,19951117,"Lake Oswego","OR",12 min.
19950312,19950312,"Columbia","SC",30 sec.
19950720,19950720,"Port Orchard","WA",25 min.
19950415,19950416,"Earlville","PA",30 sec.
19950822,19950823,"Phoenix","AZ",30 sec.
19950131,19950131,"Alexandria","LA",2 min.
19950914,19950914,"Mason","MI",40 sec.
19951002,19951002,"N. Providence","RI",3 min.
19950716,19950718,"Cherry Hill","NJ",
19951003,19951003,"Volinda","CA",
19951027,19951027,"Siletz","OR",15 min.
19950611,19950615,"Ogden","UT",2 min.
19950210,19950426,"Cannon Beach","OR",10 sec.
19950823,19950823,"Puyallup","WA",10 sec.
19950317,19950322,"Evington","VA",2 min.
19950630,19950706,"Port Angeles","WA",5 days
19950929,19950929,"Manchester","ME",10 min.
19950929,19950929,"San Francisco","CA",6 sec.
19951104,19951108,"Alfalfa","OR",10 sec.
19950924,19951009,"Maple Valley","WA",45 sec.
19950724,19950726,"Arlington","IL",20 sec.
19950817,19950821,"Granite","WA",15 min.
19950315,19950318,"S. Greensburg","PA",
19950619,19950620,"Cottonwood","CA",90 sec.
19950403,19950404,"Bakersfield","CA",3 hrs.
19950618,19950619,"Fall River","MA",2 min.
19950420,19950420,"Watauga","TX",15 sec.
19950914,19950914,"Douglas","AZ",15 min.
19951112,19951112,"Las Vegas","NV",45 min.
19951029,19951029,"Kodak","TN",1 min.
19950425,19950425,"Brooklyn","OH",
19950102,19950102,"New Port Richey","FL",15 Sec.
19950805,19950806,"Woodland","WA",2 sec.
19950826,19950829,"Phoenix","AZ",3 min.
19950624,19950624,"Snoqualmie","WA",2 sec.
19951111,19951111,"Rock Island","WA",20 sec.
19951001,19951002,"Piedmont","CA",
19950509,19950517,"Vista","CA",10 min.
19950306,19950307,"Burley","WA",20 sec.
19950611,19950612,"Tacoma","WA",2 min.
19950707,19950728,"Canada","BC",10 sec.
19950728,19950729,"Racine","WI",2 min.
19950830,19950830,"Bakersfield","CA",
19950210,19950210,"Seattle","WA",30 sec
19950904,19950904,"Colorado Springs","CO",
19951002,19951002,"Santa Rosa","CA",25 sec.
19950925,19951001,"Lake Oswego","OR",
19950206,19950206,"Bloomington","IL",5 min
19950826,19950914,"Provo","UT",3 min.
19950223,19950320,"Redding","CA",
19950815,19950817,"Arcadia Shores","WA",2 sec.
19950923,19951001,"Lake Oswego","OR",
19950117,19950117,"Bend","OR",73 min.
19951007,19951007,"Wolf Lake","MI",
19950728,19950731,"Clarksville","VA",80 min.
19950108,19950108,"Horton","MI",
19950314,19950314,"Wenatchee","WA",5 sec.
19950918,19950921,"Wilcox","AZ",1 min.
19950516,19950516,"Hillsborough","NJ",
19951002,19951003,"Garberville","CA",
19950203,19950304,"Fontana","CA",20 min
19950928,19950929,"Napa","CA",
19950621,19950621,"Cameron","MO",1 hr.
19950204,19950204,"Redondo Beach","CA",
19950524,19950524,"Jeannette","PA",1 min.
19950216,19950217,"PawPaw","MI",
19950920,19950920,"Reno","NV",1 hr.
19950925,19950925,"Polson","MT",
19950422,19950801,"Milpitas","CA",
19951103,19951103,"Belmont","CA",2 sec.
19950513,19950514,"Tampa","FL",3 sec.
19950603,19950604,"Olympia","WA",1 min.
19950401,19950402,"Mountlake Terrace (Seattle)","WA",
19950124,19950124,"Midland","TX",20 sec.
19950125,19950221,"Joyce","WA",WA
19950923,19950926,"Washington County","OR",
19951031,19951031,"Tacoma","WA",2 min.
19951101,19951101,"Bothell","WA",2 sec.
19951031,19951101,"West Hartford","CT",20 sec.
19950317,19950318,"Boulder Creek","CA",30 sec.
19950920,19950920,"Black Shear","GA",4 hrs.
19951111,19951112,"Kirkland","WA",10 sec.
19950202,19950202,"Shady Grove","OR",15 min
19950107,19950107,"McMinnville","TN",30 min.
19950912,19950912,"Leadville","CO",2 min.
19950227,19950301,"Mukilteo","WA",1 sec.
19950131,19950131,"Eaton Rapids","MI",6 min.
19950611,19950612,"Modesto","CA",10 sec.
19950702,19950702,"Winnemucca","NV",2 sec.
19950503,19950514,"Amsterdam","NY",4 min.
19950814,19950814,"Snoqualmie Pass","WA",10 sec.
19950715,19950715,"Seattle","WA",2 min.
19950611,19950611,"Puyallup","WA",
19950723,19950801,"Snake River","ID",15 sec.
19950109,19950109,"Port Charlotte","FL",1 min.
19950607,19950612,"Albany","CA",2 min.
19950325,19950507,"Burien","WA",
19950325,19950327,"Fort Wayne","IN",15 min.
19950912,19950913,"W. New Brunswick","NJ",6 sec.
19950812,19950816,"Naples","FL",
19950827,19950828,"Medford","OR",15 sec.
19950410,19950410,"Tajunga","CA",7sec.
19950819,19950820,"Hayworth","IL",
19950215,19950215,"Fair Oaks","NY",
19950519,19950523,"Federal Way","WA",90 sec.
19941229,19950103,"Lakeview","MI",5 min.
19950122,19950122,"Seattle","WA",5 sec.
19950226,19950226,"Mt. Vernon","WA",30 min.
19950806,19950807,"Bakersfield","CA",
19950802,19950802,"Stanwood","WA",1 sec.
19950306,19950306,"Columbus","OH",3 min.
19950324,19950324,"North Dade","FL",2 sec.
19950922,19950922,"Lake Charles","LA",3 min.
19951111,19951111,"Solvang","CA",10 min.
19950212,19950212,"Elisabethtown","KY",75 min.
19950625,19950625,"Tumwater","WA",25 min.
19950122,19950123,"Vienna","VA",2 sec.
19950617,19950623,"Toledo","OH",
19950831,19950831,"Mukilteo","WA",20 min.
19951104,19951108,"Chelan","WA",
19950319,19950319,"Jacksonville","FL",
19950103,19950103,"Gladstone","OR",
19930101,19950210,"Reedborough","VT",
19950826,19950828,"Williston","ND",10 min.
19951117,19951117,"Fall River","MA",10 sec.
19950623,19950623,"Monroe","WA",
19950820,19950820,"Beaverton","OR",
19950206,19950206,"Nine Mile Falls","WA",5 min
19950614,19950614,"Miami","FL",5 min.
19950506,19950508,"Huntington","NY",
19951110,19951110,"Auburn","WA",10 sec.
19950313,19950313,"Seattle","WA",5 min.
19950309,19950309,"Plant City","FL",1 hr.
19950609,19950609,"Arlington","WA",90 sec.
19951118,19951118,"Seattle","WA",
19950208,19950210,"Tillamook","OR",
19950310,19950310,"Portland","OR",2 sec.
19950822,19950822,"Fontana","CA",2 min.
19950220,19950220,"Seattle","WA",
19950913,19950913,"Missoula","MT",45 min.
19950515,19950524,"McKenzie","TN",
19950601,19950601,"Carson City","NV",15 sec.
19950902,19950905,"New York City (Manhattan)","NY",45 sec.
19951016,19951016,"Scofield Barracks","HI",30 min.
19950315,19950315,"Gainesville","FL",5 sec.
19950314,19950314,"Seattle","WA",2 sec.
19950131,19950131,"Spanaway","WA",40
19950731,19950801,"Morris Plains","NJ",3.5 hrs.
19950316,19950320,"Toledo","OH",
19950212,19950215,"McKinleyville","CA",15 sec.
19950720,19950720,"Bellevue","WA",3 min.
19950806,19950810,"Moosehead Lake","ME",10 min.
19950512,19950605,"Madison","WI",
19950210,19950210,"Billings","MT",
19950223,19950223,"Snohomish","WA",10 min.
19950318,19950318,"Bakersfield","CA",30 sec.
19950112,19950112,"Olalla","WA",
19950112,19950112,"Snohomish","WA",20 Min.
19950223,19950223,"Seattle","WA",.
19950117,19950117,"Seattle","WA",45 min.
19950519,19950520,"Mt. Jackson","VA",
19950330,19950330,"Fort Wayne","IN",
19950410,19950410,"Goleta","CA",5 sec.
19950307,19950308,"Tucumcari","NM",3 sec.
19950729,19950801,"Portland","OR",
19950422,19950422,"Bakersfield","CA",
19950919,19950919,"Johnson City","TN",
19950104,19950104,"Rodney","MI",
19951119,19951119,"Phoenix","AZ",5 min.
19950123,19950123,"Ladysmith","WI",20 min.
19950813,19950813,"Coon Valley","WI",20 min.
19950807,19950808,"Berthid","CO",3 hrs.
19950611,19950612,"Fairfield","CA",2 sec.
19951018,19951019,"Grass Lake","MI",1 min.
19950416,19950416,"Tacoma","WA",2 min.
19950820,19950820,"Culver City","CA",5 min.
19950221,19950221,"Sprague River","OR",
